analysis,group,target,n,mean_ret,median_ret,win_rate,std
quality_grade,grade_B,hold_ret_t1,14977,0.0008,-0.025,0.286,0.1316
quality_grade,grade_B,hold_ret,14977,0.009,-0.0292,0.3543,0.1471
quality_grade,grade_B,ret_5,14966,0.0078,-0.009,0.441,0.1122
quality_grade,grade_B,ret_10,14918,0.0065,-0.0101,0.4434,0.1405
quality_grade,grade_B,ret_20,14797,0.0109,-0.0143,0.4471,0.1883
quality_grade,grade_C,hold_ret_t1,25032,0.0028,-0.0244,0.321,0.1339
quality_grade,grade_C,hold_ret,25032,0.0086,-0.0247,0.3712,0.1434
quality_grade,grade_C,ret_5,25027,0.0071,-0.0039,0.4654,0.0946
quality_grade,grade_C,ret_10,24940,0.0093,-0.003,0.4815,0.1252
quality_grade,grade_C,ret_20,24700,0.0157,-0.0039,0.4825,0.1822
quality_grade,grade_D,hold_ret_t1,66403,0.0052,-0.0097,0.2913,0.1087
quality_grade,grade_D,hold_ret,66403,0.0073,-0.0151,0.355,0.117
quality_grade,grade_D,ret_5,66447,0.0032,-0.0026,0.4694,0.0798
quality_grade,grade_D,ret_10,66232,0.0088,0.0017,0.5072,0.1073
quality_grade,grade_D,ret_20,65777,0.0229,0.01,0.537,0.1513
rope_dir,多头,hold_ret_t1,106412,0.004,-0.0156,0.2976,0.1184
rope_dir,多头,hold_ret,106412,0.0078,-0.018,0.3587,0.1282
rope_dir,多头,ret_5,106440,0.0048,-0.0036,0.4645,0.0886
rope_dir,多头,ret_10,106090,0.0086,-0.0006,0.4922,0.1168
rope_dir,多头,ret_20,105274,0.0195,0.0035,0.5115,0.1646
high_break_flag,非高点突破,hold_ret_t1,89913,0.0044,-0.0134,0.2989,0.1078
high_break_flag,非高点突破,hold_ret,89913,0.0074,-0.0167,0.3594,0.1169
high_break_flag,非高点突破,ret_5,89929,0.0044,-0.003,0.4681,0.0847
high_break_flag,非高点突破,ret_10,89646,0.009,0.0006,0.5009,0.1112
high_break_flag,非高点突破,ret_20,89007,0.0213,0.007,0.525,0.1542
high_break_flag,高点突破,hold_ret_t1,16499,0.0022,-0.0272,0.2903,0.1648
high_break_flag,高点突破,hold_ret,16499,0.0103,-0.0285,0.3551,0.1774
high_break_flag,高点突破,ret_5,16511,0.007,-0.0074,0.4447,0.1073
high_break_flag,高点突破,ret_10,16444,0.0063,-0.0103,0.4449,0.1436
high_break_flag,高点突破,ret_20,16267,0.0095,-0.0172,0.4376,0.2123
watch_flag,普通,hold_ret_t1,91435,0.0046,-0.0139,0.2994,0.1161
watch_flag,普通,hold_ret,91435,0.0077,-0.0168,0.3594,0.1248
watch_flag,普通,ret_5,91474,0.0043,-0.003,0.4683,0.0841
watch_flag,普通,ret_10,91172,0.0089,0.0003,0.5002,0.1125
watch_flag,普通,ret_20,90477,0.0209,0.0062,0.5221,0.1604
watch_flag,观察(B级),hold_ret_t1,14977,0.0008,-0.025,0.286,0.1316
watch_flag,观察(B级),hold_ret,14977,0.009,-0.0292,0.3543,0.1471
watch_flag,观察(B级),ret_5,14966,0.0078,-0.009,0.441,0.1122
watch_flag,观察(B级),ret_10,14918,0.0065,-0.0101,0.4434,0.1405
watch_flag,观察(B级),ret_20,14797,0.0109,-0.0143,0.4471,0.1883
t1_consistency,方向翻转,hold_ret_t1,11556,0.0,0.0,0.0,0.0
t1_consistency,方向翻转,hold_ret,11556,-0.0301,-0.0211,0.0567,0.0349
t1_consistency,方向翻转,ret_5,11534,-0.036,-0.0344,0.2513,0.07
t1_consistency,方向翻转,ret_10,11526,-0.0284,-0.0275,0.3415,0.0928
t1_consistency,方向翻转,ret_20,11496,-0.0013,-0.0052,0.4751,0.1254
t1_consistency,方向一致,hold_ret_t1,94856,0.0045,-0.0228,0.3338,0.1254
t1_consistency,方向一致,hold_ret,94856,0.0125,-0.017,0.3955,0.1345
t1_consistency,方向一致,ret_5,94906,0.0097,0.0,0.4904,0.0893
t1_consistency,方向一致,ret_10,94564,0.0131,0.0023,0.5106,0.1186
t1_consistency,方向一致,ret_20,93778,0.022,0.0046,0.516,0.1686
