scene,factor,target,n,pearson_r,pearson_p,spearman_r,abs_pearson
baseline_fixed_window,range_width_atr,ret_5,91285,0.0274,1.2262719556195892e-16,0.0898,0.0274
baseline_fixed_window,high_break_flag,ret_20,105274,-0.026,3.538654779393118e-17,-0.0642,0.026
baseline_fixed_window,amount,ret_5,106440,-0.0259,2.893560498415981e-17,-0.1042,0.0259
baseline_fixed_window,upper,ret_5,91285,-0.0255,1.3652559096137673e-14,-0.0445,0.0255
baseline_fixed_window,high,ret_5,106440,-0.0249,4.886275529532985e-16,-0.0426,0.0249
baseline_fixed_window,score_freshness_total,ret_20,105274,-0.0249,5.934965563484543e-16,-0.0446,0.0249
baseline_fixed_window,upper,ret_10,90935,-0.0246,1.245827230845262e-13,-0.0483,0.0246
baseline_fixed_window,rope,ret_5,106440,-0.0241,3.9959039652796246e-15,-0.0421,0.0241
baseline_fixed_window,score_trend_total,ret_10,106090,0.0241,3.84282763731924e-15,-0.026,0.0241
baseline_fixed_window,lower,ret_5,91285,-0.0239,4.62695098349625e-13,-0.0422,0.0239
baseline_fixed_window,close,ret_5,106440,-0.0238,7.690833006179395e-15,-0.0413,0.0238
baseline_fixed_window,open,ret_5,106440,-0.0235,1.7454205917420325e-14,-0.0396,0.0235
baseline_fixed_window,lower,ret_10,90935,-0.0234,1.7887610695217286e-12,-0.046,0.0234
baseline_fixed_window,low,ret_5,106440,-0.0229,8.921505167747338e-14,-0.0387,0.0229
baseline_fixed_window,vol_record_days,ret_5,106440,-0.0227,1.2979916708385936e-13,-0.0279,0.0227
baseline_fixed_window,nearest_high,ret_10,82923,-0.0225,9.671504940153347e-11,-0.0382,0.0225
baseline_fixed_window,close_pos,ret_5,106440,0.0223,3.7506974966775687e-13,0.0312,0.0223
baseline_fixed_window,nearest_high,ret_5,83219,-0.0221,1.868874210339339e-10,-0.0321,0.0221
baseline_fixed_window,range_width_atr,ret_20,90119,0.0215,9.821897241158614e-11,0.08,0.0215
baseline_fixed_window,event_index,ret_20,105274,0.0213,4.276998307299537e-12,-0.0255,0.0213
baseline_fixed_window,breakout_watch_flag,ret_20,105274,-0.0211,7.757524819592387e-12,-0.0509,0.0211
baseline_fixed_window,nearest_low,ret_10,87018,-0.0209,7.05148275831999e-10,-0.0376,0.0209
baseline_fixed_window,nearest_low,ret_5,87310,-0.0208,8.316281103500108e-10,-0.0336,0.0208
baseline_fixed_window,score_candle_total,ret_10,106090,0.0206,1.805336438532491e-11,0.0232,0.0206
baseline_fixed_window,high,ret_10,106090,-0.0203,3.824952819258606e-11,-0.0383,0.0203
baseline_fixed_window,n_high_levels_broken,ret_20,105274,-0.0202,5.441121381074434e-11,-0.0642,0.0202
baseline_fixed_window,close,ret_10,106090,-0.0195,2.3105438472978787e-10,-0.0371,0.0195
baseline_fixed_window,rope,ret_10,106090,-0.0191,4.496543656703786e-10,-0.0368,0.0191
baseline_fixed_window,open,ret_10,106090,-0.0188,9.327283869808822e-10,-0.0348,0.0188
baseline_fixed_window,low,ret_10,106090,-0.0182,2.9023645937638875e-09,-0.034,0.0182
baseline_fixed_window,score_volume_total,ret_5,106440,0.0168,4.6126900374839894e-08,-0.0057,0.0168
baseline_fixed_window,rope_slope_atr_5,ret_10,90935,-0.0165,6.581585119252743e-07,-0.0585,0.0165
baseline_fixed_window,vol,ret_10,106090,-0.0163,1.1032724314905404e-07,-0.0949,0.0163
baseline_fixed_window,upper_wick_ratio,ret_20,105274,-0.0149,1.2658997147589642e-06,-0.0066,0.0149
baseline_fixed_window,body_to_range,ret_10,106090,0.0142,3.6487283852540886e-06,0.0177,0.0142
baseline_fixed_window,n_high_levels_broken,ret_5,106440,0.0142,3.5911876962348444e-06,-0.0188,0.0142
baseline_fixed_window,breakout_watch_flag,ret_5,106440,0.0136,9.114756583775748e-06,-0.0227,0.0136
baseline_fixed_window,breakout_quality_score,ret_10,106090,0.013,2.4169411086880565e-05,-0.0267,0.013
baseline_fixed_window,score_volume_total,ret_10,106090,-0.0127,3.396626400569106e-05,-0.0471,0.0127
baseline_fixed_window,event_seq,ret_20,105274,0.0124,5.8281590582557786e-05,-0.0323,0.0124
baseline_fixed_window,high_break_flag,ret_5,106440,0.0109,0.00039945400646754974,-0.0188,0.0109
baseline_fixed_window,close_pos,ret_10,106090,0.0108,0.0004273138404101534,0.021,0.0108
baseline_fixed_window,score_candle_total,ret_20,105274,0.0097,0.0016146287370084238,0.0071,0.0097
baseline_fixed_window,high_break_flag,ret_10,106090,-0.0084,0.006136966116977323,-0.0408,0.0084
baseline_fixed_window,breakout_watch_flag,ret_10,106090,-0.0071,0.020180876267412145,-0.0379,0.0071
baseline_fixed_window,bull_pct,ret_20,105274,-0.007,0.022861476936194693,-0.0034,0.007
baseline_fixed_window,delta_pct,ret_20,105274,-0.007,0.022861476936194693,-0.0034,0.007
baseline_fixed_window,vol,ret_5,106440,-0.0068,0.027082583841420607,-0.0687,0.0068
baseline_fixed_window,body_to_range,ret_20,105274,0.0038,0.21312512722197174,-0.0002,0.0038
baseline_fixed_window,close_pos,ret_20,105274,0.0037,0.22608579251297756,0.0073,0.0037
baseline_fixed_window,score_freshness_total,ret_10,106090,-0.0036,0.23980660569137122,-0.0171,0.0036
baseline_fixed_window,bull_pct,ret_10,106090,-0.0025,0.4195637886707577,0.0036,0.0025
baseline_fixed_window,delta_pct,ret_10,106090,-0.0025,0.4195637886707577,0.0036,0.0025
baseline_fixed_window,n_high_levels_broken,ret_10,106090,-0.0025,0.4116326568978378,-0.0407,0.0025
baseline_fixed_window,dist_to_rope_atr,ret_20,90119,0.0019,0.5641983948558554,0.0032,0.0019
baseline_fixed_window,dist_to_rope_atr,ret_5,91285,-0.0015,0.6427289180261055,-0.0009,0.0015
baseline_fixed_window,bull_pct,ret_5,106440,0.0013,0.6827069393407543,0.0065,0.0013
baseline_fixed_window,delta_pct,ret_5,106440,0.0013,0.6827069393407543,0.0065,0.0013
baseline_fixed_window,rope_slope_atr_5,ret_5,91285,0.001,0.7543004269368055,-0.0462,0.001
baseline_fixed_window,score_freshness_total,ret_5,106440,-0.0006,0.843616810647182,-0.0115,0.0006
baseline_fixed_window,dist_to_rope_atr,ret_10,90935,-0.0005,0.8857323832976041,-0.0005,0.0005
baseline_fixed_window,rope_dir,ret_5,106440,,,,
baseline_fixed_window,rope_dir,ret_10,106090,,,,
baseline_fixed_window,rope_dir,ret_20,105274,,,,
